2016-07-01,Michelle Obama: Let girls learn,CNN,"[""[ (CNN)Raphina Feelee lives in Liberia, where the average family gets by on less than two dollars a day, and many families simply can't afford to educate their daughters."", ""I had the privilege of meeting Raphina and Rihab when I traveled to Liberia and Morocco earlier this week to highlight our global girls' education crisis -- the fact that right now, more than 62 million girls worldwide are not in school."", ' , The girls I met in Morocco and Liberia want to be doctors, teachers, entrepreneurs, engineers.', ""In Liberia we'll be running girls' empowerment programs, working to end gender violence in schools, and supporting new, second-chance schools for girls who were forced to drop out because of pregnancy or rape.,""]",0.125,0.5448623679425842,liberia
2016-07-06,Kim Jong-un placed on sanctions blacklist for the first time by US,Guardian,"['Previously sanctioned leaders include Saddam Hussein of Iraq, Charles Taylor of Liberia, and Robert Mugabe of Zimbabwe.,']",0.5,0.0,liberia
2016-07-18,International Criminal Court Fast Facts,CNN,"[""Member States -- (Date of Admission as a Party) - 124 members:Afghanistan -- (10 Feb. 2003)Albania -- (31 Jan. 2003)Andorra -- (30 Apr. 2001)Antigua and Barbuda -- (18 June 2001)Argentina -- (08 Feb. 2001)Australia -- (01 July 2002)Austria -- (28 Dec. 2000)Bangladesh -- (23 Mar. 2010)Barbados -- (10 Dec. 2002)Belgium -- (28 June 2000)Belize -- (05 April 2000)Benin -- (22 Jan. 2002)Bolivia -- (27 June 2002)Bosnia and Herzegovina -- (11 Apr. 2002)Botswana -- (08 Sep. 2000)Brazil -- (20 June 2002)Bulgaria -- (11 Apr. 2002)Burkina Faso -- (16 Apr. 2004)Burundi -- (21 Sep. 2004)Cambodia -- (11 Apr. 2002)Canada -- (07 July 2000)Cape Verde, now known as Cabo Verde -- (10 Oct. 2011)Central African Republic -- (03 Oct. 2001)Chad -- (01 Jan. 2007)Chile -- (29 June 2009)Colombia -- (05 Aug. 2002)Comoros -- (18 Aug. 2006)Congo -- (03 May 2004)Cook Islands -- (18 July 2008)Costa Rica -- (07 June 2001)Côte d'Ivoire -- (15 Feb. 2013)Croatia -- (21 May 2001)Cyprus -- (07 Mar. 2002)Czech Republic -- (21 July 2009)Democratic Republic of the Congo -- (11 Apr. 2002)Denmark -- (21 June 2001)Djibouti -- (05 Nov. 2002)Dominica -- (12 Feb. 2001)Dominican Republic -- (12 May 2005)Ecuador -- (05 Feb. 2002)El Salvador -- (03 Mar. 2016)Estonia -- (30 Jan. 2002)Fiji -- (29 Nov. 1999)Finland -- (29 Dec. 2000)France -- (09 June 2000)Gabon -- (20 Sep. 2000)Gambia -- (28 June 2002)Georgia -- (05 Sep. 2003)Germany -- (11 Dec. 2000)Ghana -- (20 Dec. 1999)Greece -- (15 May 2002)Grenada -- (19 May 2011)Guatemala -- (02 Apr. 2012)Guinea -- (14 July 2003)Guyana -- (24 Sep. 2004)Honduras -- (01 July 2002)Hungary -- (30 Nov. 2001)Iceland -- (25 May 2000)Ireland -- (11 Apr. 2002)Italy -- (26 July 1999)Japan -- (17 July 2007)Jordan -- (11 Apr. 2002)Kenya -- (15 Mar. 2005)Latvia -- (28 June 2002)Lesotho -- (06 Sep. 2000)Liberia -- (22 Sep. 2004)Liechtenstein -- (02 Oct. 2001)Lithuania -- (12 May 2003)Luxembourg -- (08 Sep. 2000)Madagascar -- (14 Mar. 2008)Malawi -- (19 Sep. 2002)Maldives -- (21 Sep. 2011)Mali -- (16 Aug. 2000)Malta -- (29 Nov. 2002)Marshall Islands -- (07 Dec. 2000)Mauritius -- (05 Mar. 2002)Mexico -- (28 Oct. 2005)Mongolia -- (11 Apr. 2002)Montenegro -- (23 Oct. 2006)Namibia -- (25 June 2002)Nauru -- (12 Nov. 2001)Netherlands -- (17 July 2001)New Zealand -- (07 Sep. 2000)Niger -- (11 Apr. 2002)Nigeria -- (27 Sep. 2001)Norway -- (16 Feb. 2000)Palestine -- (1 Apr. 2015)Panama -- (21 Mar. 2002)Paraguay -- (14 May 2001)Peru -- (10 Nov. 2001)Philippines -- (30 Aug. 2011)Poland -- (12 Nov. 2001)Portugal -- (05 Feb. 2002)Republic of Korea -- (13 Nov. 2002)Republic of Moldova -- (12 Oct. 2010)Romania -- (11 Apr. 2002)Saint Kitts and Nevis -- (22 Aug. 2006)Saint Lucia -- (18 Aug. 2010)Saint Vincent and the Grenadines -- (03 Dec. 2002)Samoa -- (16 Sep. 2002)San Marino -- (13 May 1999)Senegal -- (02 Feb. 1999)Serbia -- (06 Sep. 2001)Seychelles -- (10 Aug. 2010)Sierra Leone -- (15 Sep. 2000)Slovakia -- (11 Apr. 2002)Slovenia -- (31 Dec. 2001)South Africa -- (27 Nov. 2000)Spain -- (24 Oct. 2000)Suriname -- (15 July 2008)Sweden -- (28 June 2001)Switzerland -- (12 Oct. 2001)Tajikistan -- (05 May 2000)The Former Yugoslav Republic of Macedonia -- (06 Mar. 2002)Timor-Leste -- (06 Sep. 2002)Trinidad and Tobago -- (06 Apr. 1999)Tunisia -- (24 June 2011)Uganda -- (14 June 2002)United Kingdom -- (04 Oct. 2001)United Republic of Tanzania -- (20 Aug. 2002)Uruguay -- (28 June 2002)Vanuatu -- (02 Dec. 2011)Venezuela -- (07 June 2000)Zambia -- (13 Nov. 2002)]""]",1.0,0.0,liberia
2016-07-28,"After #OscarsSoWhite, Broadway Seeks a #TonysSoDiverse - The New York Times",New York Times,"['The season has also featured a much-praised revival of “The Color Purple,” adapted from the Pulitzer Prize-winning novel about black women in early-20th-century Georgia “Shuffle Along, or the Making of the Musical Sensation of 1921 and All That Followed,” a new exploration of a long-forgotten all-black jazz musical “Eclipsed,” about captive women in Liberia “On Your Feet!,”']",1.0,0.0,liberia
2016-08-04,Let It Go Go Go! Three Stage Versions of ‘Frozen’ Are on the Way - The New York Times,New York Times,"['Ms. Tommy is a Tony nominee for her direction of “Eclipsed,” a searing play, starring Lupita Nyong’o, about captive women in Liberia.']",0.5,0.0,liberia
2016-08-12,America's Addiction to Mercenaries,Atlantic,"['I helped raise a new army in Liberia, bought and shipped weapons from eastern Europe to Africa, and shaped the environment in difficult places.']",1.0,0.0,liberia
2016-08-28,Yellow Fever Timeline: The History Of A Long Misunderstood Disease,NPR,"[""In the past 30 years, there have been limited outbreaks in Kenya, Nigeria, Liberia, Cameroon, Cote d'Ivoire, and Senegal in Africa and in the Americas in Peru, Ecuador, Venezuela, Bolivia and Brazil.,""]",1.0,0.0,liberia
2016-09-04,The World Comes to a Tiny Town: Eastport's Lesson in Globalization,Atlantic,"['Last week longshoremen were loading these rapidly into a Liberian-registered ship with a mainly Filipino crew and a Ukrainian captain, bound for ports in Asia.,']",0.5,0.0,liberia
2016-09-24,The grey parrot and the race against Africa’s wildlife extinction,Guardian,"['Many, including Bolivia, Guinea-Bissau, Kazakhstan, Kenya, Liberia, Mauritania and Mozambique must to do it urgently, says the UN body.,']",1.0,0.0,liberia
2016-09-28,"We're No. 3: U.S. Infrastructure, Education Faulted In Global Competitiveness Index",NPR,"['Liberia 44.77% from best, 132.']",0.5,0.0,liberia
